cycle,e2e_latency_ms
37,237
64,236
91,231
117,241
144,238
170,227
197,227
223,214
249,221
275,202
303,250
329,235
355,219
383,230
409,217
435,238
461,223
488,227
514,220
540,227
568,241
594,223
620,241
647,248
673,241
699,228
726,227
752,206
779,244
806,246
832,233
858,221
885,229
912,224
938,246
964,239
991,231
1018,231
1045,237
1071,230
1097,224
1123,245
1149,234
1175,218
1203,228
1229,219
1255,247
1281,232
1309,249
1335,240
1361,241
1388,245
1414,226
1441,224
1468,256
1494,240
1521,236
1547,216
1573,235
1601,245
1627,228
1653,250
1679,239
1706,241
1733,239
1759,222
1786,222
1812,238
1838,228
1866,241
1892,228
1918,208
1944,237
1971,236
1998,233
